source,target,flow
32,32,170
32,41,220
32,51,52
32,52,349
32,53,107
32,54,31
32,101,32
32,110,22
32,161,31
33,32,26
33,33,78
33,34,36
33,41,430
33,42,23
33,52,205
33,53,250
33,54,68
33,101,30
33,161,20
34,33,38
34,34,60
34,35,28
34,42,44
34,43,184
34,44,25
34,52,29
34,53,20
34,54,199
34,55,157
34,56,43
35,34,22
35,36,22
35,43,141
35,44,205
35,46,22
35,52,20
35,53,22
35,54,122
35,55,162
35,56,39
36,36,81
36,37,30
36,43,34
36,44,151
36,45,107
36,46,160
36,52,20
36,54,64
36,55,60
36,56,47,4538,,,,,
37,36,47
37,38,46
37,46,26
37,58,21
37,72,25,4703,,,,,
38,37,38
38,44,22
38,46,46
38,47,23
38,48,43
38,49,82
38,50,92
38,52,45
38,54,46
38,58,123
38,59,50
38,61,181
38,62,72
38,71,32
38,72,118
38,75,24
38,81,21
38,85,21
38,87,24
38,98,21
38,99,96
38,110,107
38,120,26
38,121,39
38,161,26,6121,,,,,
39,51,69
39,52,91
40,7,44
40,41,44
40,51,314
40,52,760
40,53,42
40,54,22
40,86,42
40,87,28
40,99,40
40,101,27
40,110,96
40,121,23
40,161,60
40,540,21
40,616,25
40,672,33,7902,,,,,
41,7,205
41,18,43
41,32,223
41,33,335
41,40,75
41,41,1321
41,42,41
41,43,94
41,44,27
41,51,184
41,52,2347
41,53,2945
41,54,315
41,55,92
41,56,24
41,61,42
41,62,44
41,63,24
41,64,46
41,65,31
41,72,66
41,74,24
41,78,63
41,87,31
41,99,131
41,101,171
41,110,540
41,116,28
41,120,78
41,121,84
41,133,102
41,161,239
41,170,22
41,177,51
41,232,38
41,261,93
41,367,79
41,387,24
41,389,126
41,433,55
41,550,42
41,586,35
41,615,35
41,616,25
41,631,20
41,642,30
41,654,56
41,660,51
41,664,35
41,672,69
41,685,20
41,698,59,18882,,,,,
42,33,31
42,34,62
42,41,52
42,42,227
42,43,232
42,51,20
42,52,138
42,53,165
42,54,838
42,55,102
42,56,21
42,101,29
42,161,35
44,18,25
44,34,21
44,35,68
44,36,135
44,41,30
44,43,436
44,44,544
44,45,252
44,46,221
44,50,22
44,51,22
44,52,202
44,53,65
44,54,776
44,55,433
44,56,275
44,57,63
44,61,109
44,62,40
44,72,45
44,73,20
44,75,20
44,78,20
44,81,21
44,87,21
44,99,100
44,101,27
44,105,21
44,110,143
44,116,35
44,120,26
44,121,52
44,133,55
44,161,94
44,170,38
44,177,44
44,241,23
44,389,49
44,530,30
44,660,21
45,35,21
45,36,110
45,43,88
45,44,366
45,46,164
45,52,33
45,54,96
45,55,90
45,56,40
45,57,30
45,110,26
45,161,27
49,38,44
49,47,22
49,49,117
49,50,224
49,58,23
49,59,26
49,61,99
49,62,43
49,72,65
49,99,39
49,110,52
50,7,56
50,9,24
50,11,20
50,38,65
50,41,21
50,43,29
50,44,29
50,46,72
50,47,22
50,49,541
50,50,1829
50,52,164
50,53,25
50,54,160
50,55,20
50,56,52
50,58,52
50,59,75
50,60,458
50,61,3779
50,62,472
50,71,290
50,72,490
50,73,31
50,74,107
50,75,87
50,81,109
50,85,66
50,87,95
50,97,23
50,98,28
50,99,522
50,110,514
50,116,32
50,120,65
50,121,125
50,133,121
50,160,24
50,161,139
50,177,29
50,241,24
50,245,20
50,389,90
50,433,32
50,530,50
50,660,44
50,688,133,38578,,,,,
51,18,20
51,32,28
51,39,30
51,40,218
51,41,179
51,43,29
51,51,819
51,52,1895
51,53,206
51,54,157
51,55,20
51,56,20
51,63,32
51,65,49
51,76,24
51,78,24
51,99,78
51,101,107
51,110,127
51,121,29
51,133,32
51,161,108
51,177,29
51,389,23
52,5,24
52,7,436
52,9,97
52,11,131
52,14,20
52,17,23
52,18,196
52,19,27
52,27,32
52,32,459
52,33,250
52,34,28
52,38,32
52,39,115
52,40,891
52,41,2593
52,42,125
52,43,485
52,44,243
52,45,23
52,46,103
52,50,144
52,51,1913
52,52,15818
52,53,8115
52,54,1408
52,55,328
52,56,193
52,58,27
52,59,20
52,60,49
52,61,1715
52,62,890
52,63,361
52,64,401
52,65,439
52,71,64
52,72,267
52,73,29
52,74,44
52,75,50
52,76,155
52,77,336
52,78,312
52,81,122
52,85,99
52,87,198
52,88,80
52,90,174
52,98,71
52,99,1450
52,101,1054
52,102,150
52,105,61
52,110,1525
52,112,24
52,116,288
52,120,200
52,121,338
52,133,578
52,135,71
52,136,69
52,140,24
52,145,25
52,146,57
52,151,25
52,157,31
52,160,45
52,161,1169
52,165,91
52,170,381
52,176,127
52,177,254
52,207,40
52,229,100
52,232,41
52,240,59
52,241,352
52,245,29
52,260,225
52,261,135
52,367,143
52,383,53
52,385,39
52,387,530
52,389,641
52,402,38
52,407,36
52,409,156
52,412,45
52,424,50
52,432,34
52,433,348
52,438,177
52,441,35
52,444,45
52,455,48
52,456,29
52,477,20
52,498,137
52,501,25
52,505,49
52,506,20
52,512,60
52,528,48
52,529,49
52,530,490
52,540,20
52,550,71
52,552,28
52,555,21
52,559,30
52,563,42
52,564,29
52,576,20
52,580,35
52,585,248
52,592,145
52,594,122
52,598,25
52,600,41
52,611,20
52,612,23
52,616,101
52,618,228
52,619,46
52,620,50
52,626,83
52,629,25
52,630,47
52,631,142
52,633,386
52,635,80
52,640,30
52,642,54
52,643,106
52,645,87
52,647,33
52,653,142
52,654,26
52,656,31
52,660,499
52,664,20
52,670,69
52,672,44
52,680,178
52,687,134
52,688,863
52,693,41
52,694,63
52,697,359
52,698,31
52,700,34
52,701,31
53,7,300
53,9,26
53,11,26
53,17,28
53,18,103
53,19,72
53,32,114
53,33,167
53,40,42
53,41,2463
53,42,60
53,43,134
53,44,77
53,46,38
53,51,173
53,52,6214
53,53,160
53,54,345
53,55,111
53,56,37
53,58,27
53,61,203
53,62,68
53,63,56
53,64,86
53,65,137
53,72,97
53,73,23
53,74,44
53,76,27
53,77,54
53,78,70
53,81,39
53,85,35
53,87,32
53,88,26
53,90,52
53,97,28
53,98,43
53,99,258
53,101,322
53,102,48
53,105,37
53,110,308
53,116,68
53,120,127
53,121,126
53,133,193
53,135,23
53,136,27
53,146,28
53,148,20
53,157,30
53,161,393
53,165,22
53,170,89
53,176,61
53,177,73
53,191,50
53,229,29
53,232,160
53,241,85
53,260,25
53,261,267
53,363,84
53,367,155
53,381,32
53,385,27
53,387,144
53,388,58
53,389,350
53,404,59
53,409,42
53,424,28
53,433,116
53,438,29
53,451,50
53,481,63
53,498,20
53,528,24
53,530,56
53,550,150
53,552,24
53,555,37
53,565,24
53,570,23
53,585,44
53,586,143
53,592,20
53,613,62
53,616,25
53,618,106
53,627,53
53,629,116
53,631,57
53,633,87
53,640,21
53,643,21
53,645,23
53,653,26
53,654,212
53,660,153
53,662,28
53,665,44
53,670,29
53,672,64
53,680,20
53,687,20
53,688,90
53,697,20
54,7,148
54,9,29
54,11,34
54,18,105
54,32,49
54,33,115
54,34,269
54,35,122
54,36,43
54,38,28
54,40,22
54,41,308
54,42,999
54,43,4989
54,44,775
54,45,85
54,46,272
54,50,69
54,51,122
54,52,1375
54,53,433
54,54,4182
54,55,5833
54,56,465
54,57,42
54,61,505
54,62,202
54,65,200
54,66,68
54,67,71
54,71,26
54,72,121
54,74,22
54,75,29
54,78,93
54,81,76
54,85,33
54,87,88
54,90,66
54,91,81
54,98,24
54,99,523
54,101,258
54,102,34
54,104,20
54,105,26
54,110,492
54,116,167
54,120,72
54,121,143
54,133,257
54,136,34
54,146,22
54,161,446
54,165,22
54,170,167
54,176,53
54,177,102
54,229,34
54,241,215
54,260,29
54,261,33
54,367,23
54,387,147
54,389,230
54,433,123
54,438,80
54,444,20
54,455,24
54,505,34
54,512,24
54,528,25
54,530,127
54,550,39
54,585,55
54,592,47
54,594,31
54,611,20
54,618,50
54,620,20
54,633,60
54,635,33
54,653,25
54,660,114
54,670,29
54,680,38
54,688,249
54,697,89
54,700,20
60,49,81
60,50,346
60,52,21
60,59,23
60,60,35
60,61,1233
60,62,80
60,71,40
60,72,115
60,75,20
60,81,21
60,85,21
60,87,25
60,99,88
60,110,84
60,120,22
60,121,33
60,133,29
60,161,25,148032,,,,,
61,7,517
61,9,82
61,11,117
61,18,37
61,38,184
61,41,97
61,43,288
61,44,132
61,46,173
61,47,51
61,49,347
61,50,4735
61,51,22
61,52,1570
61,53,224
61,54,992
61,55,164
61,56,106
61,58,239
61,59,484
61,60,2230
61,61,49927
61,62,10826
61,71,1380
61,72,4890
61,73,1359
61,74,521
61,75,346
61,81,620
61,83,103
61,84,147
61,85,651
61,86,23
61,87,705
61,97,103
61,98,348
61,99,5235
61,101,56
61,105,20
61,110,3646
61,116,120
61,120,489
61,121,794
61,133,1158
61,160,20
61,161,1002
61,170,303
61,177,216
61,229,85
61,241,567
61,245,64
61,260,160
61,261,103
61,367,221
61,387,682
61,389,1204
61,409,188
61,412,125
61,424,29
61,432,44
61,433,703
61,438,196
61,444,20
61,455,22
61,498,117
61,501,31
61,505,82
61,512,58
61,528,53
61,529,24
61,530,876
61,550,76
61,555,21
61,559,27
61,563,46
61,580,25
61,585,352
61,592,244
61,594,89
61,600,39
61,611,20
61,616,26
61,618,115
61,620,49
61,626,166
61,631,50
61,633,358
61,635,81
61,643,24
61,645,127
61,653,223
61,660,800
61,670,70
61,672,25
61,679,20
61,680,189
61,687,235
61,688,2549
61,693,20
61,694,100
61,697,846
61,698,23
61,701,28
62,7,155
62,9,41
62,11,52
62,38,64
62,41,62
62,43,165
62,44,87
62,46,88
62,47,26
62,49,59
62,50,614
62,51,23
62,52,799
62,53,95
62,54,326
62,55,100
62,56,71
62,58,85
62,59,188
62,60,312
62,61,15349
62,62,2162
62,71,645
62,72,1616
62,73,1357
62,74,2065
62,75,261
62,81,254
62,83,64
62,84,87
62,85,467
62,86,24
62,87,379
62,97,101
