source,target,flow
12111,12099,899
6037,6081,897
36119,36079,897
6073,15003,893
1097,1003,890
6087,6085,889
48355,48029,889
11001,51510,877
6085,6073,875
42045,10003,873
48201,6037,870
34003,34027,866
6013,6085,863
6013,6037,859
25021,25027,859
34021,34023,858
9007,9009,857
53033,4013,856
6073,6001,845
33017,33015,845
53033,53067,837
36061,34013,836
6083,6111,830
6013,6067,826
6075,36061,826
34023,34029,826
48061,48215,824
36119,36047,823
48201,48473,821
12099,12095,814
6087,6053,810
25017,36061,810
53035,53053,808
48039,48157,807
48201,48071,805
42101,42029,802
24510,24027,798
36119,36081,796
6073,6075,792
12085,12099,789
53067,53033,787
6037,48113,784
24005,24013,783
12057,12086,777
25017,33015,776
12081,12057,774
48039,48167,774
6055,6095,771
22109,22057,771
6059,6085,768
6037,6019,767
53033,6085,767
6013,6081,766
34039,34017,766
34017,36081,765
6073,53033,763
10003,10001,763
34013,36061,762
22005,22033,759
34017,36047,757
12086,6037,755
6079,6083,753
34035,34039,753
41051,53033,749
48201,48245,746
12031,12089,742
13051,13103,739
53053,53035,739
12011,12057,734
34021,42017,733
53033,41051,732
25017,25023,731
25025,36061,728
36047,48453,728
6053,6087,727
36061,11001,727
9003,9005,726
1003,1097,721
12086,48201,720
36061,42101,719
48167,48039,719
53073,53033,716
12011,12111,711
37129,37019,708
6083,6079,707
42101,10003,707
6097,6041,706
6085,6099,705
12057,12081,705
12089,12031,705
12091,12113,704
34023,34013,701
37065,37127,699
6111,6083,696
36081,6037,696
10005,10001,694
48071,48201,692
6085,6059,691
6037,41051,690
6073,48453,686
36059,12099,686
6001,6073,683
10003,42045,683
6037,15003,681
12091,12131,680
36061,25025,680
34017,34027,679
42101,48453,679
10001,10005,676
42101,36061,676
6081,6037,674
36081,12011,674
22057,22109,672
6013,6077,670
53033,53063,670
48355,48409,668
42101,34005,667
6095,6001,666
36119,36027,666
6059,53033,652
53033,6073,652
36079,36119,649
48409,48355,649
6095,6055,646
10003,42029,646
6075,6097,645
44003,44009,644
10001,10003,641
6085,53033,640
6059,6001,640
37019,37129,640
12035,12127,639
12011,12071,637
6001,6099,634
41039,41051,633
6037,12086,632
10003,42101,631
53061,53053,630
34035,34019,629
53011,41067,629
6111,6073,628
12071,12086,628
37129,37141,627
44009,44003,627
12086,36061,622
9001,9005,621
34005,34021,621
53033,53073,621
53061,53057,620
12117,12069,616
36047,42101,616
6073,48201,615
25023,25001,615
33015,25017,614
34017,34031,611
36071,36111,610
6059,6075,608
12127,12035,607
34005,42101,607
25001,25023,602
22071,22103,602
34039,34027,600
36061,48453,600
12103,48453,598
12113,12091,598
48201,48041,598
24033,24005,595
53011,53015,595
6037,6079,594
6073,6111,593
12057,12011,592
12069,12083,592
44007,44009,592
24005,24033,591
34017,34025,591
6085,6069,590
25023,25017,590
6073,6067,587
12103,12081,587
25025,25027,587
22099,22055,585
53033,6075,584
24005,42133,581
36061,25017,581
10003,24015,580
36103,12099,578
6111,6059,577
36047,34003,577
53053,53061,574
6085,6053,570
36047,34023,569
22033,48201,567
22033,22071,566
12031,12095,565
12111,12061,565
34025,36061,564
36111,36071,564
6085,6047,561
53011,41005,561
9011,9015,560
34003,34023,559
42101,36047,558
22103,22051,558
6075,6073,556
13103,13051,556
24005,24031,555
34003,36081,555
36005,9001,555
25017,25001,554
12131,12091,553
12069,12105,553
34029,34023,553
36027,36111,553
12086,12021,552
25017,6037,551
48245,48361,550
48201,48085,550
48201,48491,549
36047,12011,547
36061,12099,546
36005,34003,544
6037,48439,543
48361,48245,543
48355,48201,541
36087,34003,540
